Date,Active Account,New Account
2022-06-01,1,0
2022-06-02,0,0
2022-06-03,2460,2462
2022-06-04,2,0
2022-06-05,2,0
2022-06-06,12,0
2022-06-07,9,0
2022-06-08,9,0
2022-06-09,7,0
2022-06-10,6,0
2022-06-11,1,0
2022-06-12,5,0
2022-06-13,0,0
2022-06-14,10,0
2022-06-15,3,0
2022-06-16,5,0
2022-06-17,4,0
2022-06-18,0,0
2022-06-19,4,0
2022-06-20,5,0
2022-06-21,9,0
2022-06-22,5,0
2022-06-23,6,0
2022-06-24,7,0
2022-06-25,4,0
2022-06-26,1,0
2022-06-27,2,0
2022-06-28,4,0
2022-06-29,6,0
2022-06-30,1,0
2022-07-01,2,0
2022-07-02,4,3
2022-07-03,2,0
2022-07-04,4,3
2022-07-05,24,7
2022-07-06,33,5
2022-07-07,5,1
2022-07-08,8,1
2022-07-09,20,4
2022-07-10,4,0
2022-07-11,8,1
2022-07-12,7,2
2022-07-13,5,1
2022-07-14,4,0
2022-07-15,8,2
2022-07-16,3,0
2022-07-17,3,0
2022-07-18,13,2
2022-07-19,4,0
2022-07-20,7,2
2022-07-21,2,0
2022-07-22,8,2
2022-07-23,5,0
2022-07-24,6,2
2022-07-25,4,0
2022-07-26,6,0
2022-07-27,7,2
2022-07-28,2,0
2022-07-29,3,0
2022-07-30,3,0
2022-07-31,3,1
2022-08-01,7,2
2022-08-02,1,0
2022-08-03,7,3
2022-08-04,10,1
2022-08-05,0,0
2022-08-06,1,0
2022-08-07,7,1
2022-08-08,4,0
2022-08-09,2,0
2022-08-10,2,0
2022-08-11,12,7
2022-08-12,5,1
2022-08-13,4,0
2022-08-14,3,1
2022-08-15,4,1
2022-08-16,4,2
2022-08-17,2,1
2022-08-18,7,1
2022-08-19,1,0
2022-08-20,10,4
2022-08-21,10,0
2022-08-22,9,5
2022-08-23,29,13
2022-08-24,1,1
2022-08-25,14,4
2022-08-26,9,2
2022-08-27,5,0
2022-08-28,2,0
2022-08-29,6,1
2022-08-30,5,2
2022-08-31,10,3
2022-09-01,9,4
2022-09-02,3,3
2022-09-03,11,4
2022-09-04,8,0
2022-09-05,5,1
2022-09-06,11,3
2022-09-07,7,1
2022-09-08,3,1
2022-09-09,6,2
2022-09-10,3,0
2022-09-11,3,1
2022-09-12,4,1
2022-09-13,18,2
2022-09-14,2,0
2022-09-15,6,2
2022-09-16,7,4
2022-09-17,5,3
2022-09-18,4,4
2022-09-19,7,5
2022-09-20,16,6
2022-09-21,9,3
2022-09-22,3,0
2022-09-23,9,4
2022-09-24,7,1
2022-09-25,12,5
2022-09-26,7,5
2022-09-27,11,3
2022-09-28,2,1
2022-09-29,4,2
2022-09-30,4,3
2022-10-01,3,0
2022-10-02,11,6
2022-10-03,6,1
2022-10-04,2,1
2022-10-05,6,4
2022-10-06,6,2
2022-10-07,4,3
2022-10-08,2,0
2022-10-09,2,1
2022-10-10,7,5
2022-10-11,3,5
2022-10-12,6,1
2022-10-13,0,2
2022-10-14,7,8
2022-10-15,33,53
2022-10-16,27,16
2022-10-17,12,6
2022-10-18,10,9
2022-10-19,6,7
2022-10-20,4,0
2022-10-21,7,5
2022-10-22,2,1
2022-10-23,4,4
2022-10-24,3,7
2022-10-25,4,1
2022-10-26,5,3
2022-10-27,4,3
2022-10-28,3,2
2022-10-29,6,3
2022-10-30,2,4
2022-10-31,6,4
2022-11-01,4,6
2022-11-02,5,7
2022-11-03,7,14
2022-11-04,17,15
2022-11-05,5,1
2022-11-06,3,8
2022-11-07,9,8
2022-11-08,6,3
2022-11-09,4,4
2022-11-10,3,3
2022-11-11,4,8
2022-11-12,5,3
2022-11-13,5,12
2022-11-14,5,5
2022-11-15,8,10
2022-11-16,3,4
2022-11-17,5,1
2022-11-18,1,2
2022-11-19,1,3
2022-11-20,1,1
2022-11-21,3,2
2022-11-22,1,4
2022-11-23,12,0
2022-11-24,18,2
2022-11-25,16,1
2022-11-26,10,2
2022-11-27,16,1
2022-11-28,12,2
